date,market,개인,외국인,기관,연기금
2024-10-31,KOSPI,5571.33,-8582.74,3315.48,498.72
2024-11-01,KOSDAQ,878.22,-369.76,-502.39,-115.13
2024-11-01,KOSPI,2127.38,-376.28,-1881.03,147.81
2024-11-04,KOSDAQ,-5416.89,3303.83,2071.01,62.53
2024-11-04,KOSPI,-3838.21,284.23,3417.35,1023.52
2024-11-05,KOSDAQ,710.29,-1066.88,435.64,27.17
2024-11-05,KOSPI,3882.57,-1434.62,-2856.79,-289.1
2024-11-06,KOSDAQ,302.85,-609.73,416.0,154.41
2024-11-06,KOSPI,17.44,-1027.09,519.77,763.37
2024-11-07,KOSDAQ,1973.71,-881.04,-940.47,-169.81
2024-11-07,KOSPI,-2376.1,1075.63,1097.75,1788.99
2024-11-08,KOSDAQ,-2743.05,2264.5,581.56,-158.19
2024-11-08,KOSPI,-1118.08,-130.79,1175.05,-64.42
2024-11-11,KOSDAQ,855.15,-847.3,42.69,-20.11
2024-11-11,KOSPI,6764.32,-4821.15,-2379.54,718.6
2024-11-12,KOSDAQ,153.38,-36.87,-69.9,-75.72
2024-11-12,KOSPI,3309.31,-3096.98,-317.75,1648.3
2024-11-13,KOSDAQ,-251.35,-68.62,385.13,30.83
2024-11-13,KOSPI,6511.6,-6281.27,-642.37,257.59
2024-11-14,KOSDAQ,-1252.06,-27.36,1382.65,7.6
2024-11-14,KOSPI,-1142.43,-2320.62,2823.09,1776.49
2024-11-15,KOSDAQ,-2116.86,825.38,1360.35,26.01
2024-11-15,KOSPI,378.85,-613.45,-302.46,1038.31
2024-11-18,KOSDAQ,1579.14,-302.8,-808.72,-195.55
2024-11-18,KOSPI,52.96,-503.32,-170.58,437.84
2024-11-19,KOSDAQ,83.92,-309.75,301.39,77.17
2024-11-19,KOSPI,-1691.27,-3303.36,4581.1,3194.88
2024-11-20,KOSDAQ,828.56,-557.34,-333.24,-32.28
2024-11-20,KOSPI,-910.39,-1836.66,1736.61,1810.01
2024-11-21,KOSDAQ,638.24,-769.91,37.59,-124.76
2024-11-21,KOSPI,-1252.57,-2599.62,2968.23,3006.96
2024-11-22,KOSDAQ,-1521.69,919.22,669.26,126.07
2024-11-22,KOSPI,-5331.87,1161.52,3226.12,825.7
2024-11-25,KOSDAQ,-1964.9,633.62,1250.3,40.76
2024-11-25,KOSPI,-4514.56,-767.74,4531.49,544.86
2024-11-26,KOSDAQ,1930.61,-2066.9,264.34,75.24
2024-11-26,KOSPI,1861.68,-676.0,-2373.58,719.49
2024-11-27,KOSDAQ,-297.97,64.0,486.89,113.84
2024-11-27,KOSPI,-330.35,-3343.97,3004.28,2012.14
2024-11-28,KOSDAQ,718.34,-823.39,266.98,127.98
2024-11-28,KOSPI,797.56,-4913.92,3105.13,856.66
2024-11-29,KOSDAQ,1110.54,-1088.02,103.48,20.77
2024-11-29,KOSPI,5881.53,-7482.9,508.92,101.57
2024-12-02,KOSDAQ,-2095.2,1230.05,765.11,112.24
2024-12-02,KOSPI,-3200.23,-1301.41,3891.55,-80.74
2024-12-03,KOSDAQ,-2213.44,2323.73,-212.91,54.2
2024-12-03,KOSPI,-8337.58,5645.12,2795.74,-3.19
2024-12-04,KOSDAQ,-5.89,-154.31,166.43,37.31
2024-12-04,KOSPI,3398.22,-4079.64,162.33,1119.82
2024-12-05,KOSDAQ,-88.43,-220.92,387.12,273.03
2024-12-05,KOSPI,1636.63,-3164.43,562.1,1574.57
2024-12-06,KOSDAQ,-1746.98,350.42,1416.2,19.27
2024-12-06,KOSPI,-5816.3,-2842.58,8256.06,3445.14
2024-12-09,KOSDAQ,-3112.58,2063.74,1001.88,-85.59
2024-12-09,KOSPI,-8908.88,1048.78,6916.1,2283.29
2024-12-10,KOSDAQ,-4145.04,2915.78,1179.99,15.82
2024-12-10,KOSPI,-4209.79,-1066.74,4595.95,203.41
2024-12-11,KOSDAQ,1033.53,-677.98,-359.06,95.46
2024-12-11,KOSPI,-1227.34,-1412.94,1764.89,-268.2
2024-12-12,KOSDAQ,1430.11,-554.96,-882.02,114.27
2024-12-12,KOSPI,-2519.62,-226.88,1563.07,3877.87
2024-12-13,KOSDAQ,-161.31,61.8,54.51,130.26
2024-12-13,KOSPI,-821.35,-1745.56,1397.94,2608.46
2024-12-16,KOSDAQ,2089.39,-1146.96,-774.26,54.71
2024-12-16,KOSPI,3667.72,-4321.47,1.27,1422.77
2024-12-17,KOSDAQ,1423.31,-1232.39,-93.38,74.67
2024-12-17,KOSPI,4647.12,-7012.42,1566.02,1414.68
2024-12-18,KOSDAQ,150.35,86.69,-62.27,-53.73
2024-12-18,KOSPI,-4683.93,3921.85,1338.72,1003.27
2024-12-19,KOSDAQ,1416.32,-158.02,-1138.14,120.14
2024-12-19,KOSPI,8023.66,-4287.74,-5098.85,1366.42
2024-12-20,KOSDAQ,1405.33,-855.11,-347.08,51.06
2024-12-20,KOSPI,7890.16,-8180.78,-883.17,1869.98
2024-12-23,KOSDAQ,-2332.77,1306.64,1019.34,94.82
2024-12-23,KOSPI,-6836.38,1448.61,4351.72,769.92
2024-12-24,KOSDAQ,-738.79,-60.19,972.54,282.61
2024-12-24,KOSPI,-1068.5,-66.23,239.03,-247.38
2024-12-26,KOSDAQ,-1384.49,-194.1,1604.46,183.45
2024-12-26,KOSPI,-3242.35,198.63,1857.75,-67.62
2024-12-27,KOSDAQ,1604.41,-274.07,-1253.21,136.02
2024-12-27,KOSPI,2256.1,-1715.69,-1159.04,822.51
2024-12-30,KOSDAQ,-2563.41,2388.39,159.3,47.29
2024-12-30,KOSPI,-306.24,-1204.8,557.32,185.63
2025-01-02,KOSDAQ,1064.8,-1305.7,233.18,168.33
2025-01-02,KOSPI,4143.14,-2388.08,-2588.74,91.6
2025-01-03,KOSDAQ,-2220.84,1433.14,734.66,280.48
2025-01-03,KOSPI,-6984.74,2801.12,3204.35,409.92
2025-01-06,KOSDAQ,1602.86,-1553.39,-145.93,211.96
2025-01-06,KOSPI,-5370.26,3662.4,653.52,399.86
2025-01-07,KOSDAQ,1018.05,-57.17,-703.35,-73.92
2025-01-07,KOSPI,-2048.6,1586.56,-422.61,968.55
2025-01-08,KOSDAQ,2510.1,-1239.37,-1307.0,-144.61
2025-01-08,KOSPI,-3854.78,2209.0,1095.81,1385.4
2025-01-09,KOSDAQ,119.75,-213.29,40.26,11.08
2025-01-09,KOSPI,-3270.23,7481.99,-5055.99,252.62
2025-01-10,KOSDAQ,2248.3,-1222.31,-1067.13,-15.24
2025-01-10,KOSPI,3381.09,-15.61,-3975.52,2643.48
2025-01-13,KOSDAQ,991.79,-366.56,-501.06,137.46
2025-01-13,KOSPI,7485.56,-8717.44,259.61,2593.0
2025-01-14,KOSDAQ,-1388.17,779.76,622.48,150.39
2025-01-14,KOSPI,2992.29,-2946.44,-579.85,569.97
2025-01-15,KOSDAQ,1781.94,-1780.2,86.95,64.7
2025-01-15,KOSPI,1231.0,561.39,-2589.95,386.49
2025-01-16,KOSDAQ,-3224.21,2269.88,1011.22,169.79
2025-01-16,KOSPI,-5757.08,6244.35,189.79,756.72
2025-01-17,KOSDAQ,626.25,-770.31,271.44,439.74
2025-01-17,KOSPI,2864.15,-2330.65,-1006.58,1314.4
2025-01-20,KOSDAQ,1070.4,-806.32,-117.32,86.64
2025-01-20,KOSPI,2766.64,-4162.08,664.4,735.73
2025-01-21,KOSDAQ,636.63,-548.36,-94.75,312.33
2025-01-21,KOSPI,534.21,-1731.25,620.4,588.51
2025-01-22,KOSDAQ,-982.72,195.94,667.59,156.59
2025-01-22,KOSPI,-8231.94,3500.02,4208.26,880.94
2025-01-23,KOSDAQ,1316.42,-980.16,-229.6,273.91
2025-01-23,KOSPI,7595.71,-6173.66,-2032.08,1504.07
2025-01-24,KOSDAQ,-872.26,677.52,93.68,151.73
2025-01-24,KOSPI,-3830.03,2751.48,436.24,650.58
2025-01-31,KOSDAQ,-296.48,294.66,38.12,-104.93
2025-01-31,KOSPI,9620.46,-11679.0,2859.14,354.63
2025-02-03,KOSDAQ,2946.33,-1002.11,-1907.63,-119.44
2025-02-03,KOSPI,11220.18,-8688.69,-3704.22,2096.51
2025-02-04,KOSDAQ,-4096.13,3713.09,479.5,192.18
2025-02-04,KOSPI,-2931.75,799.02,1230.62,1387.3
2025-02-05,KOSDAQ,255.6,270.45,-335.19,9.77
2025-02-05,KOSPI,-1929.35,645.37,311.86,907.59
2025-02-06,KOSDAQ,-660.78,74.42,675.47,368.81
2025-02-06,KOSPI,-6059.83,3515.97,1611.76,470.82
2025-02-07,KOSDAQ,790.34,-69.12,-560.19,10.86
2025-02-07,KOSPI,3302.05,-2389.22,-2098.62,1224.28
2025-02-10,KOSDAQ,1352.8,-1077.99,-11.98,335.88
2025-02-10,KOSPI,-699.84,-2786.37,2626.48,1848.42
2025-02-11,KOSDAQ,700.35,-145.47,-308.9,72.25
2025-02-11,KOSPI,-4693.99,1401.54,2436.71,586.71
2025-02-12,KOSDAQ,2214.06,-1209.71,-556.78,4.65
2025-02-12,KOSPI,-1981.87,3729.12,-2217.36,101.6
2025-02-13,KOSDAQ,467.94,259.64,-653.46,-8.66
2025-02-13,KOSPI,-6096.05,-1138.34,6729.8,683.03
2025-02-14,KOSDAQ,-1840.09,1975.87,119.75,105.57
2025-02-14,KOSPI,-652.21,-3217.89,3660.93,1760.09
2025-02-17,KOSDAQ,-203.6,615.36,-302.27,99.3
2025-02-17,KOSPI,-335.7,-2228.35,2430.84,827.84
2025-02-18,KOSDAQ,296.26,-427.73,325.32,238.64
2025-02-18,KOSPI,-1883.7,185.09,1648.48,1209.55
2025-02-19,KOSDAQ,780.49,-796.48,137.28,122.46
2025-02-19,KOSPI,-12186.19,3927.42,7767.37,677.12
2025-02-20,KOSDAQ,3516.46,-2166.34,-1228.25,135.92
2025-02-20,KOSPI,2907.16,-2903.61,-1079.29,808.48
2025-02-21,KOSDAQ,-953.2,1269.04,-60.41,144.55
2025-02-21,KOSPI,27.82,-2180.64,1181.11,743.06
2025-02-24,KOSDAQ,2395.91,-1048.64,-1274.59,-4.34
2025-02-24,KOSPI,1929.01,-2039.79,-925.2,178.2
2025-02-25,KOSDAQ,1297.5,-352.17,-833.4,53.58
2025-02-25,KOSPI,3120.81,-3189.71,-944.27,138.22
2025-02-26,KOSDAQ,1186.42,-710.99,-470.42,-115.74
2025-02-26,KOSPI,-201.24,-3227.58,2403.66,574.05
2025-02-27,KOSDAQ,832.04,-544.11,-263.5,-78.54
2025-02-27,KOSPI,4809.64,-1753.56,-3388.78,458.52
2025-02-28,KOSDAQ,4072.49,-2829.71,-1235.83,-294.56
2025-02-28,KOSPI,20323.83,-15524.45,-6166.87,59.41
2025-03-04,KOSDAQ,-375.27,450.32,-8.51,-173.03
2025-03-04,KOSPI,2043.82,-1896.46,-1473.21,515.26
2025-03-05,KOSDAQ,-623.09,648.51,114.33,42.38
2025-03-05,KOSPI,910.67,-2233.48,478.56,709.07
2025-03-06,KOSDAQ,4407.51,-2123.18,-2172.02,-264.36
2025-03-06,KOSPI,-3693.04,1382.08,1561.45,-5.5
2025-03-07,KOSDAQ,659.42,462.31,-997.64,-283.65
2025-03-07,KOSPI,-1941.2,596.05,278.56,462.86
2025-03-10,KOSDAQ,565.07,-264.43,-416.41,-183.07
2025-03-10,KOSPI,2096.68,-4241.96,1427.5,461.22
2025-03-11,KOSDAQ,485.23,464.65,-871.07,-251.6
2025-03-11,KOSPI,4929.39,-15372.57,-2380.61,-268.85
2025-03-12,KOSDAQ,-127.57,138.47,92.96,170.31
2025-03-12,KOSPI,-5049.58,3789.82,318.67,-306.32
2025-03-13,KOSDAQ,2143.37,-857.04,-1229.71,468.01
2025-03-13,KOSPI,-737.28,-4804.17,4447.74,-465.69
2025-03-14,KOSDAQ,-2703.25,2022.99,762.89,276.13
2025-03-14,KOSPI,2078.53,-2894.0,-205.01,561.16
2025-03-17,KOSDAQ,1194.65,-1160.8,-31.72,113.98
2025-03-17,KOSPI,-11803.54,6152.22,4947.45,289.16
2025-03-18,KOSDAQ,544.37,-375.38,-21.79,88.07
2025-03-18,KOSPI,-6126.01,4407.56,950.14,341.56
2025-03-19,KOSDAQ,2166.87,-1733.01,-197.86,-85.28
2025-03-19,KOSPI,-6743.59,3026.48,2873.28,229.58
2025-03-20,KOSDAQ,929.51,-270.02,-321.07,-59.22
2025-03-20,KOSPI,-7013.04,5486.68,664.32,-29.92
2025-03-21,KOSDAQ,-1668.65,532.36,1167.39,-281.86
2025-03-21,KOSPI,-5378.57,8477.67,-4019.55,133.72
2025-03-24,KOSDAQ,581.32,-320.62,-272.58,-109.38
2025-03-24,KOSPI,-780.73,76.5,-288.15,49.92
2025-03-25,KOSDAQ,842.35,409.83,-1151.58,-300.96
2025-03-25,KOSPI,-642.09,-787.13,690.77,-195.61
2025-03-26,KOSDAQ,-1361.95,640.62,718.13,-67.86
2025-03-26,KOSPI,-6797.67,3503.82,2602.78,155.71
2025-03-27,KOSDAQ,454.09,-217.03,-203.38,-154.94
2025-03-27,KOSPI,1195.83,877.11,-3151.63,-254.6
2025-03-28,KOSDAQ,1195.14,-1139.49,-56.58,-196.22
2025-03-28,KOSPI,5408.32,-6403.12,31.24,400.66
2025-03-31,KOSDAQ,619.19,-2148.19,1477.55,-135.51
2025-03-31,KOSPI,7890.61,-15754.5,6673.42,607.22
2025-04-01,KOSDAQ,-1687.38,-51.93,1856.67,111.84
2025-04-01,KOSPI,866.44,-3901.32,1806.12,774.28
2025-04-02,KOSDAQ,2509.95,-2668.13,269.05,-123.08
2025-04-02,KOSPI,4791.39,-7241.63,1479.94,1735.42
2025-04-03,KOSDAQ,665.47,-641.57,36.52,15.59
2025-04-03,KOSPI,8013.58,-13752.38,4610.07,2722.07
2025-04-04,KOSDAQ,274.46,-884.55,730.15,-158.92
2025-04-04,KOSPI,10770.04,-17868.68,6210.84,2067.43
2025-04-07,KOSDAQ,1670.39,-1871.65,64.3,-54.13
2025-04-07,KOSPI,16721.38,-20957.41,2571.11,4307.42
2025-04-08,KOSDAQ,-746.72,-732.46,1530.13,93.38
2025-04-08,KOSPI,6029.37,-6424.84,-898.43,1131.66
2025-04-09,KOSDAQ,835.33,-967.1,193.81,-200.09
2025-04-09,KOSPI,9388.76,-10006.55,-698.29,578.56
2025-04-10,KOSDAQ,-2997.65,1076.45,2012.22,56.77
2025-04-10,KOSPI,-10692.74,3287.44,6682.32,539.66
2025-04-11,KOSDAQ,-378.14,249.27,129.21,61.77
2025-04-11,KOSPI,4339.27,-6888.21,1378.47,1749.07
2025-04-14,KOSDAQ,42.64,-252.76,223.79,228.31
2025-04-14,KOSPI,1939.24,-2419.84,-66.7,1119.36
2025-04-15,KOSDAQ,1187.82,-697.07,-410.83,39.2
2025-04-15,KOSPI,-1467.53,-1177.17,1831.27,944.64
2025-04-16,KOSDAQ,2320.57,-1272.4,-966.98,38.48
2025-04-16,KOSPI,3834.64,-4577.23,-153.11,868.49
2025-04-17,KOSDAQ,-1418.2,962.03,487.83,143.71
2025-04-17,KOSPI,-1102.17,-3518.93,3688.59,561.96
2025-04-18,KOSDAQ,319.52,-203.23,102.56,162.42
2025-04-18,KOSPI,-223.41,-1051.69,815.62,783.62
2025-04-21,KOSDAQ,1964.91,-1152.44,-634.81,-6.0
2025-04-21,KOSPI,1863.69,-2886.32,233.62,562.96
2025-04-22,KOSDAQ,246.47,-126.12,68.33,187.25
2025-04-22,KOSPI,1667.15,-2429.99,106.63,943.48
2025-04-23,KOSDAQ,-682.5,442.19,322.22,83.91
2025-04-23,KOSPI,-5484.75,-1977.46,6866.23,637.07
2025-04-24,KOSDAQ,319.15,71.65,-363.21,74.28
2025-04-24,KOSPI,1350.77,-77.08,-1987.09,-160.25
2025-04-25,KOSDAQ,-56.2,784.72,-641.41,-47.62
2025-04-25,KOSPI,-7741.23,6125.55,5072.2,843.66
2025-04-28,KOSDAQ,1847.12,-587.57,-1137.82,65.62
2025-04-28,KOSPI,-496.15,-854.14,915.52,305.63
2025-04-29,KOSDAQ,-1635.4,1334.0,431.34,136.19
2025-04-29,KOSPI,-1590.97,6925.33,-5804.12,574.35
2025-04-30,KOSDAQ,2062.91,-712.06,-1281.81,-45.09
2025-04-30,KOSPI,3055.28,-1687.88,-2210.16,-89.8
2025-05-02,KOSDAQ,-1463.45,796.26,659.71,87.0
2025-05-02,KOSPI,-2349.42,-1702.07,3228.22,452.42
2025-05-07,KOSDAQ,-2.02,265.73,-93.49,-51.42
2025-05-07,KOSPI,-4645.96,3487.5,869.44,-81.91
2025-05-08,KOSDAQ,-219.82,881.96,-424.19,-67.6
2025-05-08,KOSPI,-12.72,1302.93,-1897.69,-81.69
2025-05-09,KOSDAQ,3741.29,-2638.84,-792.11,-90.34
2025-05-09,KOSPI,631.94,675.31,-1872.86,911.76
2025-05-12,KOSDAQ,-732.15,946.25,56.05,-126.99
2025-05-12,KOSPI,-3906.77,-71.36,3429.08,261.08
2025-05-13,KOSDAQ,-872.19,422.09,563.05,154.77
2025-05-13,KOSPI,-1359.9,1714.38,-892.86,-599.55
2025-05-14,KOSDAQ,-857.32,473.64,621.08,-18.13
2025-05-14,KOSPI,-10024.22,4703.8,5347.76,141.48
2025-05-15,KOSDAQ,1273.1,-1213.36,151.82,92.98
2025-05-15,KOSPI,459.99,2723.09,-3680.58,46.83
2025-05-16,KOSDAQ,2354.06,-1773.29,-432.69,-35.6
